OBJECTID,CaseID,City,State,Country,Number_of_Victim_Fatalities,Total_Number_of_Fatalities,Number_of_Victims_Injured,Total_Number_of_Victims,Date,Day_of_Week,Average_Shooter_Age,Shooter_Sex,Shooter_Race,Type_of_Gun_General,Number_of_Shotguns,Number_of_Rifles,Number of Handguns,Total_Number_of_Guns,Number_of_Automatic_Guns,Number_of_Semi_Automatic_Guns,Fate_of_Shooter_at_the_scene,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s-General,Possible Motive - General,History_of_Mental_Illness_General,Military_Experience,Class,lat,log
1,1,Austin,Texas,US,16,17,32,48,66-08-01,Monday,25,Male,White American or European American,Multiple guns,1,3,3,7,0,1,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,Yes,SPK,30.1988873,-97.84415949
2,2,Mesa,Arizona,US,5,5,1,6,66-11-12,Saturday,18,Male,White American or European American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MM,33.42268696,-111.8163202
3,151,Spokane,Washington,US,1,2,4,5,71-11-11,Thursday,21,Male,White American or European American,Rifle,0,1,0,1,0,0,Deceased,Killed,Yes,Place of worship,None,General public,Political/Religious ideals,Yes,Unknown,MS,47.67367375,-117.4159843
4,3,New Orleans,Louisiana,US,9,10,13,22,72-12-31,Sunday,23,Male,Black American or African American,Multiple guns,0,1,1,2,0,1,Deceased,Killed,No,Government facility,Local government,Government,Race,Yes,Unknown,SPK,30.0687242,-89.93147412
5,4,Chicago,Illinois,US,1,1,3,4,74-01-17,Thursday,14,Male,Unknown,Handgun,0,0,2,2,0,0,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown,MS,41.83928045,-87.68818145
6,5,Olean,New York,US,3,3,7,10,74-12-30,Monday,17,Male,White American or European American,Multiple guns,1,1,0,2,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,General public,Mental illness,No,Unknown,MS,42.08185369,-78.43213922
7,6,Los Angeles,California,US,1,1,7,8,76-02-19,Thursday,18,Male,White American or European American,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,34.17622092,-118.5399542
8,7,Fullerton,California,US,7,7,2,9,76-07-12,Monday,37,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown,MM,33.88404244,-117.92785
9,8,San Diego,California,US,2,2,9,11,79-01-29,Monday,16,Female,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,Yes,Primary school,Place of residency ,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,32.86357277,-117.1281628
10,9,Columbia,South Carolina,US,2,2,5,7,79-10-06,Saturday,19,Male,Black American or African American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Unknown,MS,34.05098834,-80.82077527
11,10,Las Vegas,Nevada,US,1,1,2,3,82-03-19,Friday,17,Male,White American or European American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MS,36.18931923,-115.3264875
12,11,Miami,Florida,US,8,9,3,11,82-08-20,Friday,51,Male,White American or European American,Shotgun,1,0,0,1,0,0,Deceased,Killed,No,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown,MM,25.79653943,-80.20840397
13,12,Seattle,Washington,US,13,13,1,14,83-02-18,Friday,23,Male,Asian American,Handgun,0,0,2,2,0,0,Arrested,Not applicable,No,Entertainment venue,Place of recreation,General public,Financial difficulties,Unknown,Unknown,MM,47.62199575,-122.323646
14,13,Johnston,South Carolina,US,1,1,3,4,83-08-19,Friday,55,Male,White American or European American,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Unknown,MS,33.83272887,-81.8051584
15,14,Los Angeles,California,US,2,3,12,14,84-02-24,Friday,28,Male,Black American or African American,Multiple guns,2,1,0,3,0,0,Deceased,Suicide,Yes,Primary school,Place of residency ,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MS,34.17622092,-118.5399542
16,15,Dallas,Texas,US,6,6,1,7,84-06-29,Friday,39,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Social,Social dispute,Yes,Unknown,MM,32.79480596,-96.76631094
17,16,San Ysidro,California,US,21,22,19,40,84-07-18,Wednesday,41,Male,White American or European American,Multiple guns,1,0,2,3,1,1,Deceased,Killed,No,Restaurant/Cafe,Place of recreation,General public,Multiple motives,Yes,Unknown,MM,32.555556,-117.047656
18,17,Goddard,Kansas,US,1,1,3,4,85-01-21,Monday,14,Male,White American or European American,Multiple guns,0,1,1,2,0,1,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Harassment,Yes,Unknown,MS,37.67129418,-97.55070476
19,18,Atlanta,Georgia,US,2,2,1,3,85-03-06,Wednesday,30,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown,MS,33.7629969,-84.4231328
20,19,Brooklyn,New York,US,1,1,4,5,86-08-12,Tuesday,29,Male,Black American or African American,Handgun,0,0,2,2,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,"Students/Classmates/Teacher
and Government",Mental illness,Yes,Unknown,MS,40.679276,-73.939513
21,20,Edmond,Oklahoma,US,14,15,6,20,86-08-20,Wednesday,44,Male,White American or European American,Handgun,0,0,3,3,0,3,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives ,Yes,Unknown,MM,35.66889223,-97.41438792
22,21,Lewistown,Montana,US,1,1,3,4,86-12-04,Thursday,14,Male,White American or European American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Failure,Yes,Unknown,MS,47.03740653,-109.4844918
23,22,Palm Bay,Florida,US,6,6,14,20,87-04-23,Thursday,59,Male,White American or European American,Multiple guns,1,1,1,3,0,1,Arrested,Not applicable,No,Retail/Wholesale/Services facility,Place of residency,General public,Mental illness,Yes,Unknown,SPK,27.98388983,-80.66662713
24,23,Pinellas Park,Florida,US,1,1,2,3,88-02-11,Thursday,15.5,Male,White American or European American,Multiple guns,0,0,2,2,0,0,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,No,Unknown,MS,27.84887061,-82.71058
25,24,Sunnyvale,California,US,7,7,4,11,88-02-16,Tuesday,39,Male,White American or European American,Multiple guns,2,1,4,7,0,3,Arrested,Not applicable,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Rejection,Yes,Unknown,MM,37.38344257,-122.0256185
26,25,Winnetka,Illinois,US,1,2,7,8,88-05-20,Friday,30,Female,White American or European American,Multiple guns,0,0,2,2,0,1,Deceased,Suicide,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,42.10648807,-87.74211141
27,26,Chicago,Illinois,US,4,5,2,6,88-09-22,Thursday,40,Male,Black American or African American,Handgun,0,0,1,1,0,0,Deceased,Killed,Yes,Retail/ Wholesale/Services facility and Primary school,Place of residency,"General public
and Government",Mental illness,No,Yes,SPK,41.83928045,-87.68818145
28,27,Greenwood,South Carolina,US,2,2,9,11,88-09-26,Monday,19,Male,White American or European American,Handgun,0,0,1,1,0,0,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,34.1928952,-82.15355508
29,28,New Orleans,Louisiana,US,0,0,4,4,88-12-14,Wednesday,39,Male,Unknown,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Rejection,Unknown,Unknown,MS,30.0687242,-89.93147412
30,29,Stockton,California,US,5,6,30,35,89-01-17,Tuesday,24,Male,White American or European American,Multiple guns,0,1,1,2,0,2,Deceased,Suicide,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Race,Yes,Unknown,MM,37.96631812,-121.3018775
31,30,Escondido,California,US,3,4,1,4,89-08-10,Thursday,52,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance and Family,Unknown,No,Yes,MS,33.13439925,-117.0722528
32,31,Louisville,Kentucky,US,8,9,12,20,89-09-14,Thursday,47,Male,White American or European American,Multiple guns,0,2,4,6,0,4,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Unknown,MM,38.249432,-85.726243
33,32,Jacksonville,Florida,US,11,12,6,17,90-06-17,Sunday,42,Male,Black American or African American,Multiple guns,0,1,1,2,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,General public,Financial dispute,No,Unknown,SPK,30.33216122,-81.67576993
34,152,Phoenix,Arizona,US,9,9,0,9,91-08-09,Friday,16.5,Male,Asian American/Some other race,Multiple guns,1,1,0,2,0,0,Arrested,Not applicable,No,Place of worship,Place of residency,Racial/Religious group,Financial difficulties,No,Yes,MM,33.57145875,-112.0904854
35,34,Ridgewood,New Jersey,US,3,3,0,3,91-10-10,Thursday,35,Male,Black American or African American,Multiple guns,0,1,1,2,2,0,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Yes,MS,40.98213277,-74.11264731
36,35,Killeen,Texas,US,23,24,20,43,91-10-16,Wednesday,35,Male,White American or European American,Handgun,0,0,2,2,0,2,Deceased,Suicide,No,Restaurant/Cafe,Place of recreation,General public,Unknown,Yes,Yes,MM,31.07925506,-97.73392317
37,33,Iowa City,Iowa,US,5,6,1,6,91-11-01,Friday,28,Male,Asian American,Handgun,0,0,1,1,0,0,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Failure,No,No,MM,41.65589405,-91.53117986
38,36,Royal Oak,Michigan,US,4,5,5,9,91-11-14,Thursday,31,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Yes,MM,42.50840203,-83.15387427
39,37,Olivehurst,California,US,4,4,10,14,92-05-01,Friday,20,Male,White American or European American,Multiple guns,1,1,0,2,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Failure,Yes,No,MM,39.08174985,-121.5549539
40,38,Amarillo,Texas,US,0,0,6,6,92-09-11,Friday,17,Male,Unknown,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,35.18322484,-101.8805688
41,39,Watkins Glen,New York,US,4,5,0,4,92-10-15,Thursday,50,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Government,Financial dispute,No,Yes,MM,42.38013875,-76.86724659
42,40,Great Barrington,Massachusetts,US,2,2,4,6,92-12-14,Monday,18,Male,Asian American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Terminated/Denied/Reprimanded,No,Unknown,MS,42.19358268,-73.36216339
43,42,Dearborn,Michigan,US,1,2,2,3,93-05-06,Thursday,45,Male,Unknown,Multiple guns,1,0,1,2,0,0,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Unknown,Unknown,MS,42.31269522,-83.21293244
44,43,Dana Point,California,US,1,1,5,6,93-05-06,Thursday,38,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Yes,MS,33.47316083,-117.696399
45,41,San Francisco,California,US,8,9,6,14,93-07-01,Thursday,55,Male,White American or European American,Handgun,0,0,3,3,0,3,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Financial dispute,No,Unknown,MM,37.75457839,-122.4424343
46,44,Ogden,Utah,US,0,1,3,3,93-07-08,Tuesday,28,Male,Asian American,Handgun,0,0,1,1,0,1,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,No,Unknown,MS,41.2281367,-111.9675317
47,45,Fayetteville,North Carolina,US,4,4,8,12,93-08-06,Friday,22,Male,White American or European American,Multiple guns,2,1,0,3,0,1,Arrested,Not applicable,No,Restaurant/Cafe,Place of recreation,General public,Multiple motives,No,Yes,MM,35.07997086,-79.03796125
